2026-08-01T17:01:57.780+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.graph:run:104 | Pipeline started | file=01-LangChain简介.md | platforms=['blog', 'wechat']
2026-08-01T17:01:57.787+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.observability:node_enter:96 | >>> [ingest] ENTER
2026-08-01T17:01:57.788+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.nodes.ingest:ingest_node:183 | Ingested '01-LangChain简介.md' (type=obsidian, images=0, chars=1384)
2026-08-01T17:01:57.789+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.observability:node_exit:102 | <<< [ingest] EXIT (0.00s)
2026-08-01T17:01:57.791+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.observability:node_enter:96 | >>> [format_optimize] ENTER
2026-08-01T17:01:57.791+08:00 | DEBUG   | cid_19fbc8f0694_e26fdd18 | src.nodes.format_optimize:format_optimize_node:598 | Starting format optimization pipeline
2026-08-01T17:01:57.798+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.nodes.format_optimize:format_optimize_node:633 | Format optimization complete (mode=rule, input=1384 chars, output=1384 chars)
2026-08-01T17:01:57.800+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.observability:node_exit:102 | <<< [format_optimize] EXIT (0.01s)
2026-08-01T17:01:57.801+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.observability:node_enter:96 | >>> [summary_meta] ENTER
2026-08-01T17:01:58.813+08:00 | DEBUG   | cid_19fbc8f0694_e26fdd18 | src.nodes.summary_meta:summary_meta_node:119 | Calling LLM for summary/metadata generation...
2026-08-01T17:02:01.485+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.nodes.summary_meta:summary_meta_node:144 | Summary/meta generated: title='LangChain 入门：核心概念、家族分工与模型初始化', tags=['LangChain', '大模型应用', 'Agent', 'RAG', 'LangGraph', '模型初始化'], words=760, reading_time=2 min read
2026-08-01T17:02:01.487+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.observability:node_exit:102 | <<< [summary_meta] EXIT (3.69s)
2026-08-01T17:02:01.488+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.observability:node_enter:96 | >>> [image_process] ENTER
2026-08-01T17:02:01.489+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.nodes.image_process:image_process_node:209 | No images found, skipping processing
2026-08-01T17:02:01.490+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.observability:node_exit:102 | <<< [image_process] EXIT (0.00s)
2026-08-01T17:02:01.491+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.observability:node_enter:96 | >>> [cover_image] ENTER
2026-08-01T17:02:04.661+08:00 | INFO    | cid_19fbc8f0694_e26fdd18 | src.nodes.cover:cover_image_node:233 | Cover uploaded to OSS (same folder as article images): https://zyydgrbk.oss-cn-chengdu.aliyuncs.com/images/LANGCHAINRMHXGNJZ/cover.jpg
